Titel	UBVU-ID	zoomnr	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path	page type
XP.05092_014 (OT)	2,18E+11	VUA005000001_0048_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/89	89	90.jpg	/bis/image/90.jpg	1
XP.05092_014a (OT)	2,18E+11	VUA005000001_0049_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/90	90	91.jpg	/bis/image/91.jpg	1
XP.05092_014b (OT)	2,18E+11	VUA005000001_0050_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/91	91	92.jpg	/bis/image/92.jpg	1
XP.05092_014c (OT)	2,18E+11	VUA005000001_0051_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/92	92	93.jpg	/bis/image/93.jpg	1
XP.05092_014d (OT)	2,18E+11	VUA005000001_0052_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/93	93	94.jpg	/bis/image/94.jpg	1
XP.05092_015 (OT)	2,18E+11	VUA005000001_0053_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/94	94	95.jpg	/bis/image/95.jpg	1
XP.05092_016 (OT)	2,18E+11	VUA005000001_0054_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/95	95	96.jpg	/bis/image/96.jpg	1
XP.05092_016a (OT)	2,18E+11	VUA005000001_0055_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/96	96	97.jpg	/bis/image/97.jpg	1
XP.05092_016b (OT)	2,18E+11	VUA005000001_0056_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/97	97	98.jpg	/bis/image/98.jpg	1
XP.05092_017 (OT)	2,18E+11	VUA005000001_0057_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/98	98	99.jpg	/bis/image/99.jpg	1
